Model,Group,Language,Question ID,Formulation,Choice Set
gpt,Uyghurs,en,question7,formulation2,"['1', '2', '3', '4']"
gpt,Uyghurs,en,question6,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Uyghurs,en,question3,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Uiguren,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question8,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question4,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question3,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question12,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question3,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question3,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibetans,en,question6,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Tibetans,en,question5,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Tibetans,en,question5,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Rohingya,en,question3,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Rohingya,de,question9,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,question7,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question4,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question3,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question15,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,question13,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question1,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question7,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question4,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question15,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question12,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question10,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurds,en,question10,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Kurden,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Kurden,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question1,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question9,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question9,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question6,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question15,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Katalanen,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Catalans,en,question12,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
