Model,Group,Language,Question ID,Formulation,Choice Set
gpt,Uiguren,de,question9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question13,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question6,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question5,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question2,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question14,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question12,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibetans,en,question8,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Rohingya,en,question12,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Rohingya,de,question9,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question7,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question6,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question4,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,question3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question12,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question10,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question8,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question3,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question15,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question14,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurds,en,question7,formulation2,"['1', '2', '3', '4']"
gpt,Kurden,de,question9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Kurden,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Kurden,de,question9,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Kurden,de,question7,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
